college_code,college_name,college_type,course,category,last_rank,year,allotment_round
WSB,"Westfort College of Pharmacy, Thrissur",S,B.Pharm,SM,13437,2024,1
WSB,"Westfort College of Pharmacy, Thrissur",S,B.Pharm,EZ,17753,2024,1
WSB,"Westfort College of Pharmacy, Thrissur",S,B.Pharm,MU,14149,2024,1
WSB,"Westfort College of Pharmacy, Thrissur",S,B.Pharm,BH,14707,2024,1
WSB,"Westfort College of Pharmacy, Thrissur",S,B.Pharm,SC,21959,2024,1
WSB,"Westfort College of Pharmacy, Thrissur",S,B.Pharm,EW,20729,2024,1
KKE,"Government Engineering College, Kozhikkode",G,Applied Electronics & Instrumentation,SM,10662,2024,1
KKE,"Government Engineering College, Kozhikkode",G,Applied Electronics & Instrumentation,EZ,16547,2024,1
KKE,"Government Engineering College, Kozhikkode",G,Applied Electronics & Instrumentation,MU,13670,2024,1
KKE,"Government Engineering College, Kozhikkode",G,Applied Electronics & Instrumentation,LA,51257,2024,1
KKE,"Government Engineering College, Kozhikkode",G,Applied Electronics & Instrumentation,BH,16000,2024,1
KKE,"Government Engineering College, Kozhikkode",G,Applied Electronics & Instrumentation,DV,28588,2024,1
KKE,"Government Engineering College, Kozhikkode",G,Applied Electronics & Instrumentation,VK,15247,2024,1
KKE,"Government Engineering College, Kozhikkode",G,Applied Electronics & Instrumentation,BX,43347,2024,1
KKE,"Government Engineering College, Kozhikkode",G,Applied Electronics & Instrumentation,KN,50197,2024,1
KKE,"Government Engineering College, Kozhikkode",G,Applied Electronics & Instrumentation,SC,48917,2024,1
KKE,"Government Engineering College, Kozhikkode",G,Applied Electronics & Instrumentation,EW,31395,2024,1
KKE,"Government Engineering College, Kozhikkode",G,Applied Electronics & Instrumentation,FW,10041,2024,1
KKE,"Government Engineering College, Kozhikkode",G,Applied Electronics & Instrumentation,SD,35925,2024,1
TVE,"College of Engineering, Thiruvananthapuram",G,Applied Electronics & Instrumentation,SM,1830,2024,1
TVE,"College of Engineering, Thiruvananthapuram",G,Applied Electronics & Instrumentation,EZ,2576,2024,1
TVE,"College of Engineering, Thiruvananthapuram",G,Applied Electronics & Instrumentation,MU,2250,2024,1
TVE,"College of Engineering, Thiruvananthapuram",G,Applied Electronics & Instrumentation,LA,3393,2024,1
TVE,"College of Engineering, Thiruvananthapuram",G,Applied Electronics & Instrumentation,BH,2129,2024,1
TVE,"College of Engineering, Thiruvananthapuram",G,Applied Electronics & Instrumentation,DV,5658,2024,1
TVE,"College of Engineering, Thiruvananthapuram",G,Applied Electronics & Instrumentation,VK,2708,2024,1
TVE,"College of Engineering, Thiruvananthapuram",G,Applied Electronics & Instrumentation,BX,8719,2024,1
TVE,"College of Engineering, Thiruvananthapuram",G,Applied Electronics & Instrumentation,KN,18288,2024,1
TVE,"College of Engineering, Thiruvananthapuram",G,Applied Electronics & Instrumentation,SC,26436,2024,1
TVE,"College of Engineering, Thiruvananthapuram",G,Applied Electronics & Instrumentation,ST,41528,2024,1
TVE,"College of Engineering, Thiruvananthapuram",G,Applied Electronics & Instrumentation,EW,3782,2024,1
TVE,"College of Engineering, Thiruvananthapuram",G,Applied Electronics & Instrumentation,FW,1512,2024,1
MZC,"Mount Zion College of Engineering, Pathanamthitta",S,Applied Electronics & Instrumentation,SM,52432,2024,1
RET,"Rajagiri School of Engineering and Technology, Ernakulam",S,Applied Electronics & Instrumentation,SM,19671,2024,1
RET,"Rajagiri School of Engineering and Technology, Ernakulam",S,Applied Electronics & Instrumentation,EZ,23942,2024,1
RET,"Rajagiri School of Engineering and Technology, Ernakulam",S,Applied Electronics & Instrumentation,MU,23403,2024,1
RET,"Rajagiri School of Engineering and Technology, Ernakulam",S,Applied Electronics & Instrumentation,DV,47779,2024,1
RET,"Rajagiri School of Engineering and Technology, Ernakulam",S,Applied Electronics & Instrumentation,VK,42037,2024,1
RET,"Rajagiri School of Engineering and Technology, Ernakulam",S,Applied Electronics & Instrumentation,SC,44070,2024,1
RET,"Rajagiri School of Engineering and Technology, Ernakulam",S,Applied Electronics & Instrumentation,FW,17994,2024,1
KCT,"Kelappaji College of Agricultural Engineering and Technology, Tavanur",G,B.Tech. (Agrl. Engg.),SM,11325,2024,1
KCT,"Kelappaji College of Agricultural Engineering and Technology, Tavanur",G,B.Tech. (Agrl. Engg.),EZ,14669,2024,1
KCT,"Kelappaji College of Agricultural Engineering and Technology, Tavanur",G,B.Tech. (Agrl. Engg.),MU,13345,2024,1
KCT,"Kelappaji College of Agricultural Engineering and Technology, Tavanur",G,B.Tech. (Agrl. Engg.),LA,20327,2024,1
KCT,"Kelappaji College of Agricultural Engineering and Technology, Tavanur",G,B.Tech. (Agrl. Engg.),BH,15983,2024,1
KCT,"Kelappaji College of Agricultural Engineering and Technology, Tavanur",G,B.Tech. (Agrl. Engg.),DV,39255,2024,1
