college_code,college_name,college_type,course,category,last_rank,year,allotment_round
KTE,"Govt. Rajiv Gandhi Institute of Tech., Kottayam",G,Architecture,SM,168,2024,2
KTE,"Govt. Rajiv Gandhi Institute of Tech., Kottayam",G,Architecture,EZ,393,2024,2
KTE,"Govt. Rajiv Gandhi Institute of Tech., Kottayam",G,Architecture,MU,212,2024,2
KTE,"Govt. Rajiv Gandhi Institute of Tech., Kottayam",G,Architecture,LA,559,2024,2
KTE,"Govt. Rajiv Gandhi Institute of Tech., Kottayam",G,Architecture,BH,324,2024,2
KTE,"Govt. Rajiv Gandhi Institute of Tech., Kottayam",G,Architecture,DV,1224,2024,2
KTE,"Govt. Rajiv Gandhi Institute of Tech., Kottayam",G,Architecture,VK,250,2024,2
KTE,"Govt. Rajiv Gandhi Institute of Tech., Kottayam",G,Architecture,SC,1136,2024,2
KTE,"Govt. Rajiv Gandhi Institute of Tech., Kottayam",G,Architecture,EW,1198,2024,2
TCR,"Govt. Engineering College,Thrissur",G,Architecture,SM,102,2024,2
TCR,"Govt. Engineering College,Thrissur",G,Architecture,EZ,251,2024,2
TCR,"Govt. Engineering College,Thrissur",G,Architecture,MU,110,2024,2
TCR,"Govt. Engineering College,Thrissur",G,Architecture,LA,144,2024,2
TCR,"Govt. Engineering College,Thrissur",G,Architecture,BH,191,2024,2
TCR,"Govt. Engineering College,Thrissur",G,Architecture,DV,126,2024,2
TCR,"Govt. Engineering College,Thrissur",G,Architecture,BX,1287,2024,2
TCR,"Govt. Engineering College,Thrissur",G,Architecture,KN,263,2024,2
TCR,"Govt. Engineering College,Thrissur",G,Architecture,KU,884,2024,2
TCR,"Govt. Engineering College,Thrissur",G,Architecture,SC,839,2024,2
TCR,"Govt. Engineering College,Thrissur",G,Architecture,EW,727,2024,2
TCR,"Govt. Engineering College,Thrissur",G,Architecture,PT,1,2024,2
TKM,"T K M College of Engineering, Kollam",G,Architecture,SM,169,2024,2
TKM,"T K M College of Engineering, Kollam",G,Architecture,EZ,329,2024,2
TKM,"T K M College of Engineering, Kollam",G,Architecture,MU,198,2024,2
TKM,"T K M College of Engineering, Kollam",G,Architecture,LA,277,2024,2
TKM,"T K M College of Engineering, Kollam",G,Architecture,BH,258,2024,2
TKM,"T K M College of Engineering, Kollam",G,Architecture,DV,520,2024,2
TKM,"T K M College of Engineering, Kollam",G,Architecture,VK,243,2024,2
TKM,"T K M College of Engineering, Kollam",G,Architecture,BX,279,2024,2
TKM,"T K M College of Engineering, Kollam",G,Architecture,KN,1079,2024,2
TKM,"T K M College of Engineering, Kollam",G,Architecture,KU,1243,2024,2
TKM,"T K M College of Engineering, Kollam",G,Architecture,SC,1211,2024,2
TVE,"College of Engineering,Thiruvananthapura m",G,Architecture,SM,35,2024,2
TVE,"College of Engineering,Thiruvananthapura m",G,Architecture,EZ,67,2024,2
TVE,"College of Engineering,Thiruvananthapura m",G,Architecture,MU,44,2024,2
TVE,"College of Engineering,Thiruvananthapura m",G,Architecture,LA,52,2024,2
TVE,"College of Engineering,Thiruvananthapura m",G,Architecture,BH,176,2024,2
TVE,"College of Engineering,Thiruvananthapura m",G,Architecture,VK,90,2024,2
TVE,"College of Engineering,Thiruvananthapura m",G,Architecture,SC,614,2024,2
TVE,"College of Engineering,Thiruvananthapura m",G,Architecture,ST,1674,2024,2
TVE,"College of Engineering,Thiruvananthapura m",G,Architecture,EW,486,2024,2
TVE,"College of Engineering,Thiruvananthapura m",G,Architecture,PD,1453,2024,2
TVE,"College of Engineering,Thiruvananthapura m",G,Architecture,SD,814,2024,2
ALR,"ABATE Institute of Architecture, Malappuram",S,Architecture,SM,1004,2024,2
ALR,"ABATE Institute of Architecture, Malappuram",S,Architecture,EZ,1268,2024,2
ALR,"ABATE Institute of Architecture, Malappuram",S,Architecture,MU,1124,2024,2
APR,"SEED - APJ Abdul Kalam School of Environmental Design, Ernakulam",S,Architecture,SM,502,2024,2
APR,"SEED - APJ Abdul Kalam School of Environmental Design, Ernakulam",S,Architecture,EZ,634,2024,2
APR,"SEED - APJ Abdul Kalam School of Environmental Design, Ernakulam",S,Architecture,MU,551,2024,2
APR,"SEED - APJ Abdul Kalam School of Environmental Design, Ernakulam",S,Architecture,LA,1012,2024,2
APR,"SEED - APJ Abdul Kalam School of Environmental Design, Ernakulam",S,Architecture,BH,840,2024,2
APR,"SEED - APJ Abdul Kalam School of Environmental Design, Ernakulam",S,Architecture,VK,584,2024,2
ASR,"Asian School of Architecture and Design Innovations, Ernakulam",S,Architecture,SM,1123,2024,2
ASR,"Asian School of Architecture and Design Innovations, Ernakulam",S,Architecture,EZ,1586,2024,2
ASR,"Asian School of Architecture and Design Innovations, Ernakulam",S,Architecture,MU,1378,2024,2
ASR,"Asian School of Architecture and Design Innovations, Ernakulam",S,Architecture,LA,1222,2024,2
ASR,"Asian School of Architecture and Design Innovations, Ernakulam",S,Architecture,BH,1318,2024,2
ASR,"Asian School of Architecture and Design Innovations, Ernakulam",S,Architecture,SC,1695,2024,2
AVR,"Avani Institute of Design, Kozhikode",S,Architecture,SM,432,2024,2
AVR,"Avani Institute of Design, Kozhikode",S,Architecture,EZ,485,2024,2
AVR,"Avani Institute of Design, Kozhikode",S,Architecture,MU,489,2024,2
AVR,"Avani Institute of Design, Kozhikode",S,Architecture,LA,1344,2024,2
AVR,"Avani Institute of Design, Kozhikode",S,Architecture,BH,734,2024,2
AVR,"Avani Institute of Design, Kozhikode",S,Architecture,DV,1317,2024,2
AVR,"Avani Institute of Design, Kozhikode",S,Architecture,VK,568,2024,2
AVR,"Avani Institute of Design, Kozhikode",S,Architecture,SC,1676,2024,2
BJR,"Bishop Jerome Institute School of Architecture, Kollam",S,Architecture,SM,1187,2024,2
BJR,"Bishop Jerome Institute School of Architecture, Kollam",S,Architecture,EZ,1692,2024,2
BJR,"Bishop Jerome Institute School of Architecture, Kollam",S,Architecture,MU,1269,2024,2
BJR,"Bishop Jerome Institute School of Architecture, Kollam",S,Architecture,SC,1612,2024,2
CEN,"College of Engineering & Technology,Payyannur,Kaithapr am,Kannur",S,Architecture,SM,1397,2024,2
CEN,"College of Engineering & Technology,Payyannur,Kaithapr am,Kannur",S,Architecture,EZ,1635,2024,2
CEN,"College of Engineering & Technology,Payyannur,Kaithapr am,Kannur",S,Architecture,MU,1478,2024,2
DCR,"D C School of Architecture and Design, Idukki",S,Architecture,SM,1402,2024,2
DCR,"D C School of Architecture and Design, Idukki",S,Architecture,EZ,1690,2024,2
DCR,"D C School of Architecture and Design, Idukki",S,Architecture,MU,1640,2024,2
DCR,"D C School of Architecture and Design, Idukki",S,Architecture,BH,1423,2024,2
DCR,"D C School of Architecture and Design, Idukki",S,Architecture,VK,1440,2024,2
DGR,"Devaki Amma's Guruvayurappan College of Architecture, Malappuram",S,Architecture,SM,1260,2024,2
DGR,"Devaki Amma's Guruvayurappan College of Architecture, Malappuram",S,Architecture,EZ,1628,2024,2
DGR,"Devaki Amma's Guruvayurappan College of Architecture, Malappuram",S,Architecture,MU,1314,2024,2
DGR,"Devaki Amma's Guruvayurappan College of Architecture, Malappuram",S,Architecture,SC,1400,2024,2
DSR,"D C School of Architecture & Design, Trivandrum",S,Architecture,SM,778,2024,2
DSR,"D C School of Architecture & Design, Trivandrum",S,Architecture,EZ,1223,2024,2
DSR,"D C School of Architecture & Design, Trivandrum",S,Architecture,MU,928,2024,2
DSR,"D C School of Architecture & Design, Trivandrum",S,Architecture,BH,816,2024,2
