college_code,college_name,college_type,course,category,last_rank,year,allotment_round
JCE,Jawaharlal College of Engineering & Technology,S,ADMISSION TO PROFESSIONAL DEGREE COURSES - ENGINEERING & ARCHITECTURE COURSES,SM,58653,2022,3
JCE,Jawaharlal College of Engineering & Technology,S,ADMISSION TO PROFESSIONAL DEGREE COURSES - ENGINEERING & ARCHITECTURE COURSES,FW,24844,2022,3
MHP,"Ace College of Engineering, .Thiruvallam.",S,ADMISSION TO PROFESSIONAL DEGREE COURSES - ENGINEERING & ARCHITECTURE COURSES,SM,60206,2022,3
MHP,"Ace College of Engineering, .Thiruvallam.",S,ADMISSION TO PROFESSIONAL DEGREE COURSES - ENGINEERING & ARCHITECTURE COURSES,FW,24791,2022,3
MZC,"Mount Zion College of Engg., Pathanamthitta.",S,ADMISSION TO PROFESSIONAL DEGREE COURSES - ENGINEERING & ARCHITECTURE COURSES,SM,38454,2022,3
RIE,"Rajadhani Institute of Engineering & Tech., Attingal.",S,ADMISSION TO PROFESSIONAL DEGREE COURSES - ENGINEERING & ARCHITECTURE COURSES,SM,59717,2022,3
RIE,"Rajadhani Institute of Engineering & Tech., Attingal.",S,ADMISSION TO PROFESSIONAL DEGREE COURSES - ENGINEERING & ARCHITECTURE COURSES,FW,19553,2022,3
KKE,"Govt. Engineering College, Kozhikkode.",G,Applied Electronics & Instrumentation [AE],SM,19646,2022,3
KKE,"Govt. Engineering College, Kozhikkode.",G,Applied Electronics & Instrumentation [AE],EW,53937,2022,3
KKE,"Govt. Engineering College, Kozhikkode.",G,Applied Electronics & Instrumentation [AE],EZ,40558,2022,3
KKE,"Govt. Engineering College, Kozhikkode.",G,Applied Electronics & Instrumentation [AE],MU,37991,2022,3
KKE,"Govt. Engineering College, Kozhikkode.",G,Applied Electronics & Instrumentation [AE],LA,41274,2022,3
KKE,"Govt. Engineering College, Kozhikkode.",G,Applied Electronics & Instrumentation [AE],DV,52726,2022,3
KKE,"Govt. Engineering College, Kozhikkode.",G,Applied Electronics & Instrumentation [AE],VK,39586,2022,3
KKE,"Govt. Engineering College, Kozhikkode.",G,Applied Electronics & Instrumentation [AE],SC,45681,2022,3
KKE,"Govt. Engineering College, Kozhikkode.",G,Applied Electronics & Instrumentation [AE],FW,15129,2022,3
KKE,"Govt. Engineering College, Kozhikkode.",G,Applied Electronics & Instrumentation [AE],XS,50446,2022,3
TVE,"College of Engineering,Thiruvananthapuram.",G,Applied Electronics & Instrumentation [AE],SM,3398,2022,3
TVE,"College of Engineering,Thiruvananthapuram.",G,Applied Electronics & Instrumentation [AE],EW,13022,2022,3
TVE,"College of Engineering,Thiruvananthapuram.",G,Applied Electronics & Instrumentation [AE],EZ,7451,2022,3
TVE,"College of Engineering,Thiruvananthapuram.",G,Applied Electronics & Instrumentation [AE],MU,6970,2022,3
TVE,"College of Engineering,Thiruvananthapuram.",G,Applied Electronics & Instrumentation [AE],BH,4524,2022,3
TVE,"College of Engineering,Thiruvananthapuram.",G,Applied Electronics & Instrumentation [AE],LA,14632,2022,3
TVE,"College of Engineering,Thiruvananthapuram.",G,Applied Electronics & Instrumentation [AE],DV,8568,2022,3
TVE,"College of Engineering,Thiruvananthapuram.",G,Applied Electronics & Instrumentation [AE],VK,5493,2022,3
TVE,"College of Engineering,Thiruvananthapuram.",G,Applied Electronics & Instrumentation [AE],BX,13244,2022,3
TVE,"College of Engineering,Thiruvananthapuram.",G,Applied Electronics & Instrumentation [AE],KU,17768,2022,3
TVE,"College of Engineering,Thiruvananthapuram.",G,Applied Electronics & Instrumentation [AE],KN,13020,2022,3
TVE,"College of Engineering,Thiruvananthapuram.",G,Applied Electronics & Instrumentation [AE],SC,40991,2022,3
TVE,"College of Engineering,Thiruvananthapuram.",G,Applied Electronics & Instrumentation [AE],FW,2517,2022,3
MZC,"Mount Zion College of Engg., Pathanamthitta.",S,Applied Electronics & Instrumentation [AE],SM,47787,2022,3
PAA,"P A Aziz College of Engineering, Karakulam",S,Applied Electronics & Instrumentation [AE],SM,47785,2022,3
RET,"Rajagiri School of Engineering and Technology, Kochi.",S,Applied Electronics & Instrumentation [AE],SM,57382,2022,3
RET,"Rajagiri School of Engineering and Technology, Kochi.",S,Applied Electronics & Instrumentation [AE],FW,18977,2022,3
RET,"Rajagiri School of Engineering and Technology, Kochi.",S,Applied Electronics & Instrumentation [AE],YN,33785,2022,3
VML,"Vimal Jyothi Engineering College, Chemperi.",S,Applied Electronics & Instrumentation [AE],SM,59743,2022,3
VML,"Vimal Jyothi Engineering College, Chemperi.",S,Applied Electronics & Instrumentation [AE],FW,45869,2022,3
ICE,"Ilahia College of Engineering & Tech., Moovattupuzha.",S,Artificial Intelligence and Data Science [AD],SM,55572,2022,3
ICE,"Ilahia College of Engineering & Tech., Moovattupuzha.",S,Artificial Intelligence and Data Science [AD],FW,24519,2022,3
JEC,"Jyothi Engineering College, Cheruthuruthy.",S,Artificial Intelligence and Data Science [AD],SM,37039,2022,3
