college_code,college_name,college_type,course,category,last_rank,year,allotment_round
ICE,"Ilahia College of Engineering & Tech., Moovattupuzha.",S,Artificial Intelligence and Data Science,SM,39710,2022,2
ICE,"Ilahia College of Engineering & Tech., Moovattupuzha.",S,Artificial Intelligence and Data Science,EZ,52189,2022,2
ICE,"Ilahia College of Engineering & Tech., Moovattupuzha.",S,Artificial Intelligence and Data Science,MU,55996,2022,2
ICE,"Ilahia College of Engineering & Tech., Moovattupuzha.",S,Artificial Intelligence and Data Science,BH,47246,2022,2
ICE,"Ilahia College of Engineering & Tech., Moovattupuzha.",S,Artificial Intelligence and Data Science,FW,24519,2022,2
JEC,"Jyothi Engineering College, Cheruthuruthy.",S,Artificial Intelligence and Data Science,SM,28246,2022,2
JEC,"Jyothi Engineering College, Cheruthuruthy.",S,Artificial Intelligence and Data Science,EZ,38830,2022,2
JEC,"Jyothi Engineering College, Cheruthuruthy.",S,Artificial Intelligence and Data Science,MU,32029,2022,2
JEC,"Jyothi Engineering College, Cheruthuruthy.",S,Artificial Intelligence and Data Science,BH,33183,2022,2
JEC,"Jyothi Engineering College, Cheruthuruthy.",S,Artificial Intelligence and Data Science,LA,28383,2022,2
JEC,"Jyothi Engineering College, Cheruthuruthy.",S,Artificial Intelligence and Data Science,SC,52753,2022,2
JEC,"Jyothi Engineering College, Cheruthuruthy.",S,Artificial Intelligence and Data Science,FW,20475,2022,2
MEA,"M E A Engineering College, Malappuram.",S,Artificial Intelligence and Data Science,SM,29742,2022,2
MEA,"M E A Engineering College, Malappuram.",S,Artificial Intelligence and Data Science,EZ,50170,2022,2
MEA,"M E A Engineering College, Malappuram.",S,Artificial Intelligence and Data Science,MU,30481,2022,2
MEA,"M E A Engineering College, Malappuram.",S,Artificial Intelligence and Data Science,SC,53381,2022,2
MEA,"M E A Engineering College, Malappuram.",S,Artificial Intelligence and Data Science,FW,26424,2022,2
MEA,"M E A Engineering College, Malappuram.",S,Artificial Intelligence and Data Science,MM,37465,2022,2
MES,"M E S College of Engineering, Kuttippuram.",S,Artificial Intelligence and Data Science,SM,24417,2022,2
MES,"M E S College of Engineering, Kuttippuram.",S,Artificial Intelligence and Data Science,EZ,39674,2022,2
MES,"M E S College of Engineering, Kuttippuram.",S,Artificial Intelligence and Data Science,MU,25705,2022,2
MES,"M E S College of Engineering, Kuttippuram.",S,Artificial Intelligence and Data Science,BH,35797,2022,2
MES,"M E S College of Engineering, Kuttippuram.",S,Artificial Intelligence and Data Science,LA,28273,2022,2
MES,"M E S College of Engineering, Kuttippuram.",S,Artificial Intelligence and Data Science,DV,35818,2022,2
MES,"M E S College of Engineering, Kuttippuram.",S,Artificial Intelligence and Data Science,FW,16966,2022,2
MES,"M E S College of Engineering, Kuttippuram.",S,Artificial Intelligence and Data Science,MM,28356,2022,2
MUT,"Muthoot Institute of Tech. & Science, Puthencurz",S,Artificial Intelligence and Data Science,SM,16159,2022,2
MUT,"Muthoot Institute of Tech. & Science, Puthencurz",S,Artificial Intelligence and Data Science,EW,28321,2022,2
MUT,"Muthoot Institute of Tech. & Science, Puthencurz",S,Artificial Intelligence and Data Science,EZ,19118,2022,2
MUT,"Muthoot Institute of Tech. & Science, Puthencurz",S,Artificial Intelligence and Data Science,MU,18264,2022,2
MUT,"Muthoot Institute of Tech. & Science, Puthencurz",S,Artificial Intelligence and Data Science,BH,20509,2022,2
MUT,"Muthoot Institute of Tech. & Science, Puthencurz",S,Artificial Intelligence and Data Science,LA,20113,2022,2
MUT,"Muthoot Institute of Tech. & Science, Puthencurz",S,Artificial Intelligence and Data Science,DV,37165,2022,2
MUT,"Muthoot Institute of Tech. & Science, Puthencurz",S,Artificial Intelligence and Data Science,VK,46398,2022,2
MUT,"Muthoot Institute of Tech. & Science, Puthencurz",S,Artificial Intelligence and Data Science,SC,35820,2022,2
MUT,"Muthoot Institute of Tech. & Science, Puthencurz",S,Artificial Intelligence and Data Science,FW,10334,2022,2
RCE,"Royal College of Engineering & Technology, Thrissur.",S,Artificial Intelligence and Data Science,SM,38076,2022,2
RCE,"Royal College of Engineering & Technology, Thrissur.",S,Artificial Intelligence and Data Science,EZ,48488,2022,2
RCE,"Royal College of Engineering & Technology, Thrissur.",S,Artificial Intelligence and Data Science,MU,40415,2022,2
RCE,"Royal College of Engineering & Technology, Thrissur.",S,Artificial Intelligence and Data Science,BH,52264,2022,2
RCE,"Royal College of Engineering & Technology, Thrissur.",S,Artificial Intelligence and Data Science,FW,23669,2022,2
RCE,"Royal College of Engineering & Technology, Thrissur.",S,Artificial Intelligence and Data Science,MM,58639,2022,2
RET,"Rajagiri School of Engineering and Technology, Kochi.",S,Artificial Intelligence and Data Science,SM,7119,2022,2
RET,"Rajagiri School of Engineering and Technology, Kochi.",S,Artificial Intelligence and Data Science,EZ,9856,2022,2
RET,"Rajagiri School of Engineering and Technology, Kochi.",S,Artificial Intelligence and Data Science,MU,10039,2022,2
RET,"Rajagiri School of Engineering and Technology, Kochi.",S,Artificial Intelligence and Data Science,DV,18709,2022,2
RET,"Rajagiri School of Engineering and Technology, Kochi.",S,Artificial Intelligence and Data Science,VK,11072,2022,2
RET,"Rajagiri School of Engineering and Technology, Kochi.",S,Artificial Intelligence and Data Science,SC,18948,2022,2
RET,"Rajagiri School of Engineering and Technology, Kochi.",S,Artificial Intelligence and Data Science,FW,5094,2022,2
RET,"Rajagiri School of Engineering and Technology, Kochi.",S,Artificial Intelligence and Data Science,YN,23390,2022,2
SJC,"St. Josephs College of Engineering and Technology,Palai.",S,Artificial Intelligence and Data Science,SM,20313,2022,2
SJC,"St. Josephs College of Engineering and Technology,Palai.",S,Artificial Intelligence and Data Science,EZ,41039,2022,2
SJC,"St. Josephs College of Engineering and Technology,Palai.",S,Artificial Intelligence and Data Science,MU,28894,2022,2
SJC,"St. Josephs College of Engineering and Technology,Palai.",S,Artificial Intelligence and Data Science,BH,40346,2022,2
SJC,"St. Josephs College of Engineering and Technology,Palai.",S,Artificial Intelligence and Data Science,LA,28997,2022,2
SJC,"St. Josephs College of Engineering and Technology,Palai.",S,Artificial Intelligence and Data Science,SC,54848,2022,2
SJC,"St. Josephs College of Engineering and Technology,Palai.",S,Artificial Intelligence and Data Science,FW,16789,2022,2
SJC,"St. Josephs College of Engineering and Technology,Palai.",S,Artificial Intelligence and Data Science,YP,32504,2022,2
VJC,"Viswajyothi College of Engg. & Technology,Vazhakulam.",S,Artificial Intelligence and Data Science,SM,21352,2022,2
VJC,"Viswajyothi College of Engg. & Technology,Vazhakulam.",S,Artificial Intelligence and Data Science,EZ,24508,2022,2
VJC,"Viswajyothi College of Engg. & Technology,Vazhakulam.",S,Artificial Intelligence and Data Science,MU,24867,2022,2
VJC,"Viswajyothi College of Engg. & Technology,Vazhakulam.",S,Artificial Intelligence and Data Science,DV,60383,2022,2
VJC,"Viswajyothi College of Engg. & Technology,Vazhakulam.",S,Artificial Intelligence and Data Science,VK,25672,2022,2
VJC,"Viswajyothi College of Engg. & Technology,Vazhakulam.",S,Artificial Intelligence and Data Science,SC,45466,2022,2
VJC,"Viswajyothi College of Engg. & Technology,Vazhakulam.",S,Artificial Intelligence and Data Science,FW,17737,2022,2
VJC,"Viswajyothi College of Engg. & Technology,Vazhakulam.",S,Artificial Intelligence and Data Science,YQ,43029,2022,2
VML,"Vimal Jyothi Engineering College, Chemperi.",S,Artificial Intelligence and Data Science,SM,34554,2022,2
VML,"Vimal Jyothi Engineering College, Chemperi.",S,Artificial Intelligence and Data Science,EZ,52370,2022,2
VML,"Vimal Jyothi Engineering College, Chemperi.",S,Artificial Intelligence and Data Science,MU,42554,2022,2
VML,"Vimal Jyothi Engineering College, Chemperi.",S,Artificial Intelligence and Data Science,BH,42698,2022,2
VML,"Vimal Jyothi Engineering College, Chemperi.",S,Artificial Intelligence and Data Science,LA,42815,2022,2
VML,"Vimal Jyothi Engineering College, Chemperi.",S,Artificial Intelligence and Data Science,SC,43598,2022,2
VML,"Vimal Jyothi Engineering College, Chemperi.",S,Artificial Intelligence and Data Science,FW,13609,2022,2
KKE,"Govt. Engineering College, Kozhikkode.",G,Applied Electronics & Instrumentation,SM,12736,2022,2
KKE,"Govt. Engineering College, Kozhikkode.",G,Applied Electronics & Instrumentation,EW,39165,2022,2
KKE,"Govt. Engineering College, Kozhikkode.",G,Applied Electronics & Instrumentation,EZ,21967,2022,2
KKE,"Govt. Engineering College, Kozhikkode.",G,Applied Electronics & Instrumentation,MU,19646,2022,2
KKE,"Govt. Engineering College, Kozhikkode.",G,Applied Electronics & Instrumentation,BH,24495,2022,2
KKE,"Govt. Engineering College, Kozhikkode.",G,Applied Electronics & Instrumentation,LA,52163,2022,2
KKE,"Govt. Engineering College, Kozhikkode.",G,Applied Electronics & Instrumentation,DV,52726,2022,2
